micros,hx_x,hx_y,hx_z,hx_temp,hy_x,hy_y,hy_z,hy_temp
5031,-27429,-1612,4,3706,9092,-1646,10
5035,-27429,-1635,2,3720,9098,-1657,11
5019,-27435,-1613,3,3714,9098,-1655,12
5009,-27428,-1625,1,3706,9100,-1666,9
5029,-27430,-1622,2,3712,9088,-1678,12
5027,-27420,-1639,2,3711,9087,-1665,9
5009,-27427,-1624,4,3697,9092,-1681,11
5024,-27403,-1605,2,3707,9095,-1670,10
5036,-27426,-1627,3,3697,9095,-1659,9
5032,-27428,-1606,4,3710,9114,-1669,11
5032,-27402,-1619,3,3712,9100,-1678,10
5016,-27409,-1616,2,3708,9092,-1678,11
5008,-27397,-1611,3,3704,9092,-1659,10
5014,-27440,-1597,3,3700,9106,-1666,12
5012,-27390,-1601,0,3701,9099,-1683,9
5024,-27416,-1629,2,3715,9101,-1663,10
5026,-27414,-1603,3,3700,9100,-1649,11
5016,-27419,-1606,1,3698,9088,-1654,11
5032,-27424,-1622,2,3692,9090,-1665,11
5022,-27417,-1626,1,3697,9095,-1659,10
5020,-27410,-1620,2,3706,9122,-1649,11
5018,-27424,-1622,3,3706,9104,-1639,9
5026,-27408,-1616,3,3705,9093,-1650,8
5030,-27414,-1620,3,3713,9105,-1664,10
5032,-27424,-1628,2,3704,9108,-1647,10
5017,-27429,-1619,3,3709,9097,-1637,8
5023,-27398,-1610,0,3708,9096,-1656,10
5024,-27397,-1619,3,3704,9090,-1641,10
5023,-27412,-1612,3,3706,9101,-1655,9
5027,-27417,-1636,3,3691,9098,-1653,12
5023,-27433,-1647,4,3700,9105,-1666,11
5027,-27406,-1619,1,3693,9091,-1660,10
5025,-27423,-1610,4,3695,9091,-1647,10
5026,-27388,-1616,0,3701,9107,-1666,9
5019,-27406,-1623,3,3718,9108,-1641,12
5031,-27425,-1614,1,3702,9110,-1663,10
5036,-27412,-1615,3,3709,9093,-1664,12
5018,-27399,-1606,2,3708,9085,-1637,11
5018,-27397,-1593,2,3713,9100,-1659,11
5024,-27426,-1605,3,3704,9113,-1650,11
5034,-27408,-1618,2,3708,9097,-1659,11
5028,-27406,-1602,3,3696,9099,-1647,10
5032,-27398,-1616,4,3712,9105,-1643,10
5022,-27412,-1628,3,3712,9094,-1648,11
5036,-27392,-1614,2,3726,9114,-1642,10
5052,-27420,-1609,4,3714,9106,-1667,10
5026,-27408,-1612,4,3714,9098,-1668,9
5030,-27414,-1607,1,3726,9078,-1657,11
5032,-27432,-1598,5,3712,9096,-1657,11
5023,-27420,-1632,3,3720,9098,-1659,10
5021,-27420,-1609,1,3718,9098,-1657,9
5024,-27402,-1591,1,3722,9112,-1658,11
5029,-27398,-1600,2,3707,9103,-1643,10
5021,-27419,-1630,4,3714,9092,-1654,8
5023,-27419,-1585,3,3714,9108,-1656,10
5027,-27432,-1613,3,3722,9102,-1650,11
5017,-27420,-1623,0,3714,9104,-1656,10
5016,-27406,-1605,3,3715,9097,-1643,8
5020,-27405,-1607,2,3716,9112,-1638,10
5016,-27407,-1608,0,3715,9103,-1637,9
5020,-27384,-1611,3,3715,9105,-1647,10
5038,-27414,-1626,3,3732,9108,-1645,10
5026,-27422,-1608,3,3709,9097,-1651,10
5020,-27408,-1617,3,3717,9097,-1661,9
5030,-27365,-1625,2,3707,9089,-1639,10
5020,-27421,-1600,1,3706,9102,-1657,11
5014,-27399,-1627,2,3709,9095,-1646,9
5028,-27421,-1617,2,3717,9087,-1652,10
5022,-27424,-1597,2,3704,9104,-1629,9
5026,-27410,-1641,3,3701,9085,-1659,10
5018,-27408,-1638,3,3701,9101,-1660,8
5028,-27422,-1624,4,3712,9108,-1661,10
5010,-27382,-1638,0,3711,9111,-1658,10
5022,-27408,-1608,2,3693,9089,-1658,10
5016,-27411,-1609,2,3714,9090,-1648,10
5032,-27414,-1603,2,3705,9113,-1655,10
5016,-27422,-1595,2,3712,9098,-1631,10
5028,-27399,-1608,2,3707,9079,-1622,9
5020,-27403,-1605,2,3710,9103,-1643,9
5026,-27450,-1612,4,3705,9109,-1641,10
5025,-27410,-1599,1,3701,9099,-1662,10
5023,-27396,-1615,2,3700,9100,-1635,11
5029,-27416,-1621,3,3707,9093,-1663,8
5017,-27420,-1627,1,3716,9098,-1662,12
5041,-27416,-1624,3,3716,9104,-1657,11
5021,-27404,-1615,1,3716,9100,-1652,12
5029,-27432,-1612,2,3699,9099,-1652,10
5023,-27421,-1619,3,3706,9104,-1651,11
5029,-27412,-1596,2,3709,9105,-1658,10
5033,-27419,-1591,4,3720,9100,-1651,11
5023,-27396,-1619,2,3711,9101,-1633,9
5015,-27424,-1607,3,3709,9097,-1650,9
5013,-27399,-1634,4,3709,9103,-1667,9
5009,-27386,-1594,2,3714,9106,-1664,10
5023,-27400,-1617,3,3702,9101,-1670,8
5037,-27394,-1601,2,3715,9118,-1657,12
5019,-27418,-1618,2,3699,9117,-1660,10
5015,-27408,-1601,3,3720,9097,-1656,11
5027,-27404,-1614,3,3704,9101,-1677,10
5021,-27434,-1622,1,3712,9105,-1658,11
5017,-27424,-1595,2,3716,9111,-1681,10
5033,-27421,-1610,5,3696,9111,-1681,9
5033,-27433,-1628,3,3716,9101,-1652,10
5015,-27412,-1611,2,3703,9122,-1657,11
5015,-27422,-1608,1,3710,9097,-1660,10
5019,-27436,-1635,3,3704,9097,-1646,9
5019,-27407,-1606,4,3693,9106,-1669,12
5023,-27412,-1617,2,3699,9106,-1675,10
5025,-27423,-1593,4,3693,9102,-1669,11
5011,-27423,-1601,3,3702,9095,-1653,11
5027,-27412,-1629,2,3710,9117,-1643,9
5006,-27399,-1608,0,3690,9105,-1647,8
5016,-27410,-1619,3,3698,9093,-1646,11
5022,-27422,-1627,3,3706,9095,-1663,10
5020,-27423,-1620,4,3704,9095,-1633,11
5004,-27416,-1610,4,3703,9102,-1676,11
5010,-27417,-1606,2,3712,9107,-1656,11
5024,-27420,-1602,2,3704,9093,-1659,10
5022,-27424,-1609,2,3700,9099,-1645,11
5028,-27411,-1609,1,3703,9092,-1642,10
5012,-27399,-1626,3,3721,9096,-1646,11
5030,-27403,-1615,3,3703,9104,-1650,11
5032,-27408,-1621,3,3714,9087,-1658,11
5016,-27424,-1616,3,3701,9104,-1652,11
5020,-27420,-1613,2,3701,9120,-1662,11
5016,-27404,-1623,5,3707,9096,-1636,12
5015,-27396,-1633,2,3708,9091,-1672,12
5011,-27418,-1625,2,3708,9109,-1658,10
5025,-27410,-1617,3,3704,9113,-1648,9
5019,-27413,-1594,4,3698,9109,-1665,9
5009,-27422,-1600,2,3708,9085,-1667,9
5035,-27427,-1615,3,3708,9097,-1655,10
5021,-27415,-1610,4,3708,9105,-1673,10
5013,-27418,-1592,3,3716,9105,-1660,11
5029,-27428,-1613,0,3704,9107,-1670,11
5015,-27406,-1607,2,3704,9097,-1668,10
5025,-27424,-1608,2,3700,9087,-1661,11
5017,-27404,-1610,3,3699,9104,-1670,11
5015,-27419,-1595,3,3712,9119,-1647,11
5041,-27418,-1624,2,3724,9102,-1639,12
5023,-27423,-1613,3,3713,9110,-1636,11
5031,-27407,-1606,5,3696,9097,-1639,9
5039,-27440,-1621,4,3708,9097,-1639,10
5033,-27404,-1600,3,3716,9101,-1651,11
5029,-27420,-1627,1,3721,9108,-1656,14
5027,-27410,-1612,1,3693,9092,-1641,10
5025,-27425,-1613,2,3678,9094,-1678,9
5035,-27409,-1621,3,3708,9089,-1648,10
5021,-27426,-1596,2,3710,9097,-1645,10
5035,-27424,-1630,1,3721,9094,-1685,11
5031,-27420,-1617,2,3712,9107,-1664,11
5019,-27423,-1606,4,3696,9107,-1665,10
5017,-27429,-1607,4,3700,9088,-1638,9
5023,-27429,-1614,3,3688,9101,-1647,10
5013,-27432,-1619,3,3698,9105,-1661,10
5023,-27453,-1611,2,3698,9103,-1668,11
5017,-27412,-1618,2,3704,9079,-1658,11
5019,-27418,-1621,2,3696,9103,-1660,11
5011,-27420,-1601,2,3708,9089,-1662,8
5022,-27412,-1604,2,3712,9099,-1655,10
5023,-27420,-1594,2,3696,9097,-1635,10
5037,-27442,-1611,3,3708,9097,-1673,10
5017,-27410,-1618,3,3698,9097,-1655,10
5015,-27418,-1621,1,3696,9103,-1650,11
5029,-27452,-1637,5,3690,9093,-1638,10
