hx_x,hx_y,hx_z,hx_temp,hy_x,hy_y,hy_z,hy_temp
8421,32767,-7766,8,-5053,-32486,-11555,5
8405,32767,-7788,5,-5044,-32493,-11564,7
8411,32767,-7790,6,-5039,-32476,-11561,5
8414,32767,-7787,7,-5056,-32465,-11563,9
8404,32767,-7794,6,-5054,-32475,-11560,8
8402,32767,-7785,5,-5044,-32489,-11546,6
8401,32767,-7790,5,-5038,-32475,-11557,5
8413,32767,-7799,6,-5048,-32491,-11563,7
8409,32767,-7807,6,-5052,-32479,-11560,6
8405,32767,-7781,8,-5029,-32494,-11553,8
8405,32767,-7797,7,-5040,-32461,-11532,5
8411,32767,-7811,6,-5044,-32473,-11565,6
8399,32767,-7789,5,-5046,-32483,-11550,7
8406,32767,-7811,9,-5041,-32488,-11553,8
8417,32767,-7821,8,-5036,-32481,-11545,6
8411,32767,-7799,5,-5036,-32483,-11558,7
8407,32767,-7806,7,-5041,-32470,-11555,6
8395,32767,-7795,9,-5043,-32444,-11541,5
8409,32767,-7801,7,-5046,-32491,-11548,7
8393,32767,-7780,6,-5038,-32469,-11554,7
8409,32767,-7796,5,-5047,-32472,-11563,4
8393,32767,-7801,6,-5048,-32503,-11558,6
8407,32767,-7788,6,-5030,-32465,-11548,7
8415,32767,-7809,7,-5036,-32479,-11545,7
8419,32767,-7818,6,-5050,-32489,-11553,6
8417,32767,-7812,6,-5036,-32475,-11581,6
8404,32767,-7783,5,-5042,-32461,-11555,7
8418,32767,-7814,6,-5046,-32469,-11548,6
8404,32767,-7803,5,-5022,-32465,-11545,6
8414,32767,-7809,6,-5040,-32491,-11549,7
8405,32767,-7802,8,-5046,-32455,-11565,8
8400,32767,-7812,6,-5044,-32463,-11564,6
8420,32767,-7811,6,-5039,-32444,-11557,6
8411,32767,-7805,7,-5058,-32487,-11556,7
8411,32767,-7792,6,-5044,-32491,-11573,7
8407,32767,-7800,6,-5044,-32475,-11547,7
8401,32767,-7800,5,-5038,-32479,-11553,8
8407,32767,-7807,6,-5040,-32477,-11570,7
8403,32767,-7827,5,-5046,-32491,-11554,6
8397,32767,-7786,6,-5042,-32491,-11563,6
8415,32767,-7816,7,-5045,-32462,-11581,5
8407,32767,-7798,5,-5038,-32469,-11567,7
8415,32767,-7800,5,-5043,-32508,-11552,6
8409,32767,-7795,6,-5048,-32483,-11563,7
8401,32767,-7811,7,-5036,-32489,-11569,6
8405,32767,-7800,4,-5038,-32467,-11575,7
8413,32767,-7807,5,-5048,-32483,-11571,8
8425,32767,-7789,7,-5040,-32471,-11564,7
8401,32767,-7788,6,-5046,-32463,-11548,6
8409,32767,-7799,6,-5042,-32471,-11559,7
8403,32767,-7799,4,-5038,-32465,-11559,8
8417,32767,-7803,6,-5034,-32479,-11563,6
8413,32767,-7794,6,-5033,-32466,-11564,6
8419,32767,-7793,7,-5054,-32495,-11560,8
8397,32767,-7789,6,-5049,-32482,-11576,9
8413,32767,-7800,8,-5038,-32479,-11582,6
8423,32767,-7825,7,-5048,-32483,-11558,5
8421,32767,-7811,5,-5038,-32487,-11541,8
8413,32767,-7811,7,-5038,-32474,-11545,3
8419,32767,-7810,6,-5054,-32458,-11541,4
8409,32767,-7804,6,-5044,-32481,-11569,5
8413,32767,-7800,6,-5038,-32465,-11574,5
8408,32767,-7780,6,-5049,-32472,-11560,9
8412,32767,-7808,5,-5045,-32488,-11583,5
8425,32767,-7808,6,-5050,-32499,-11569,7
8419,32767,-7784,5,-5035,-32472,-11578,4
8407,32767,-7792,6,-5043,-32494,-11559,7
8413,32767,-7811,8,-5050,-32465,-11588,5
8397,32767,-7803,5,-5052,-32483,-11557,6
8421,32767,-7809,7,-5030,-32463,-11553,6
8410,32767,-7806,4,-5046,-32479,-11566,7
8403,32767,-7807,7,-5044,-32473,-11560,7
8393,32767,-7799,4,-5049,-32487,-11558,6
8419,32767,-7825,8,-5041,-32500,-11580,9
8406,32767,-7814,7,-5042,-32475,-11581,7
8412,32767,-7775,5,-5058,-32477,-11578,6
8400,32767,-7813,6,-5024,-32457,-11596,7
8396,32767,-7816,6,-5026,-32479,-11575,8
8395,32767,-7814,6,-5027,-32474,-11627,8
8394,32767,-7819,5,-5008,-32455,-11730,5
8392,32767,-7812,7,-4994,-32421,-11870,6
8378,32767,-7858,7,-4969,-32445,-11917,6
8362,32767,-7888,8,-4980,-32451,-11950,6
8351,32767,-7904,5,-4982,-32431,-11955,5
8337,32767,-7923,6,-4982,-32433,-11943,7
8343,32767,-7922,7,-4969,-32485,-11944,5
8328,32767,-7924,7,-4988,-32453,-11931,6
8346,32767,-7917,5,-4997,-32488,-11922,6
8339,32767,-7911,7,-4990,-32447,-11903,4
8351,32767,-7898,9,-4994,-32459,-11897,7
8335,32767,-7892,5,-4976,-32452,-11866,4
8343,32767,-7888,5,-4992,-32461,-11877,6
8351,32767,-7908,7,-4988,-32469,-11854,6
8357,32767,-7887,7,-4998,-32464,-11867,8
8355,32767,-7907,6,-5003,-32468,-11870,8
8336,32767,-7897,6,-4994,-32463,-11861,6
8349,32767,-7892,7,-4992,-32461,-11842,5
8359,32767,-7877,6,-5004,-32479,-11837,7
8355,32767,-7879,6,-4990,-32449,-11837,6
8357,32767,-7870,7,-5006,-32469,-11852,7
8349,32767,-7862,6,-4993,-32488,-11861,7
8359,32767,-7902,7,-5009,-32492,-11842,8
8357,32767,-7871,5,-4989,-32484,-11841,8
8349,32767,-7884,7,-4996,-32443,-11843,7
8359,32767,-7877,5,-4988,-32457,-11837,6
8357,32767,-7870,5,-4997,-32464,-11840,8
8361,32767,-7891,6,-4989,-32468,-11846,6
8355,32767,-7904,6,-5008,-32475,-11832,6
8346,32767,-7887,6,-4990,-32445,-11820,6
8349,32767,-7907,6,-5012,-32475,-11749,6
8269,32767,-8099,6,-5058,-32603,-11477,7
7970,32767,-8568,6,-5174,-32768,-10982,5
7702,32767,-8897,6,-5232,-32768,-10389,8
7604,32767,-9077,6,-5311,-32768,-9737,7
7472,32767,-9332,6,-5364,-32768,-9140,7
7290,32767,-9617,5,-5394,-32768,-8476,8
7015,32767,-10033,6,-5366,-32768,-7088,6
5930,32767,-11847,7,-5074,-32768,-4784,7
1557,32767,-18368,6,-2648,-32768,6513,7
-4143,32767,-26552,6,1169,-30032,20892,6
-8148,32767,-32714,8,4395,-21728,32767,7
-9901,32050,-32768,5,4258,-5475,32767,9
-10218,31945,-32768,7,-4496,8642,32767,6
-9882,32139,-32768,8,-14011,17048,32767,6
-5079,32767,-27313,5,-15435,17248,32767,7
2508,32767,-16367,6,-17132,17362,32767,7
6353,32767,-11484,6,-17998,17324,32767,8
7570,32767,-8911,5,-17699,17354,32767,5
10662,32767,-3968,5,-17511,17372,32767,10
14632,31957,3958,6,-16119,17312,32767,8
17694,22630,18027,6,-13161,16793,32767,8
4357,1221,32699,5,-10022,15354,32767,8
-23712,-15356,32767,6,-7194,12100,32767,8
-32768,-16066,32767,7,-4811,8748,32767,7
-32768,-15337,32767,5,-2962,5785,32767,7
-32768,-14127,32767,8,2851,-1781,32767,9
-32768,-12249,32767,6,5101,-18051,32767,7
-32768,-10293,32767,6,2356,-29925,20499,7
-32768,-6982,32767,5,-3239,-32768,-1572,7
-32768,-5261,32767,7,-1976,-31463,-20386,7
-32768,-7247,32767,6,10154,-20097,-32378,6
-32768,-9622,32767,7,24370,-7419,-32768,8
-32768,-12075,32767,8,32767,3750,-32768,3
-32768,-14355,32767,8,32767,4448,-32768,7
-32768,-15589,32767,7,32767,1879,-27917,6
-32768,-16964,32767,7,32767,1555,-25042,5
-26776,-16434,32767,6,32767,862,-19889,4
-9159,-6046,32767,7,32767,230,-14175,5
9363,11519,25088,6,32160,-379,-10636,6
17599,28672,8875,7,31303,-1124,-6641,8
10608,32767,-5033,7,30346,-1848,-5405,10
6076,32767,-11948,5,29952,-2083,-5449,6
3507,32767,-15962,5,30132,-1950,-5378,6
1191,32767,-19504,8,30222,-1894,-5380,6
-2301,32767,-24068,5,30222,-1852,-5393,6
-7894,32767,-31935,6,30752,-1472,-5884,7
-14165,27204,-32768,9,31526,-878,-8364,7
-16429,18646,-32768,7,32367,-145,-12897,7
-12907,7917,-32768,5,32767,586,-18776,7
-3604,890,-32768,6,32767,1929,-29453,5
56,-2305,-32768,7,32767,4229,-32768,5
3511,-4361,-32768,7,32767,5562,-32768,8
9198,-5743,-32768,8,32379,-912,-32768,6
17404,-6000,-29399,6,10922,-20062,-29031,8
20607,-5789,-26702,5,-5455,-32768,-6961,7
13501,-5939,-32768,5,-577,-31520,18661,7
5636,-4522,-32768,4,5158,-9648,32767,7
-1682,-617,-32768,6,-5079,9408,32767,8
-10693,6601,-32768,5,-6556,11787,32767,9
-16273,17776,-32768,6,-8487,14379,32767,8
-13580,29833,-32768,5,-11300,16253,32767,7
-7227,32767,-29777,6,-14395,17364,32767,9
1762,32767,-17410,5,-17467,17334,32767,8
5267,32767,-12897,5,-18250,17320,32767,5
5268,32767,-12876,4,-18218,17308,32767,8
6096,32767,-11460,9,-17930,17324,32767,6
9673,32767,-5368,5,-17809,17334,32767,6
15554,30560,7595,8,-16175,17302,32767,7
14454,15289,23770,6,-12667,16667,32767,8
-12069,-10409,32767,7,-8620,14451,32767,9
-32749,-17466,32767,7,-4187,7486,32767,7
-32768,-14141,32767,7,4148,-6654,32767,7
-32768,-11490,32767,7,3965,-26832,27145,7
-32768,-8346,32767,8,-1164,-32768,6745,7
-32768,-5500,32767,7,-5293,-32768,-8303,5
-32768,-6389,32767,6,1814,-28814,-23748,7
-32768,-8911,32767,7,18225,-12391,-32768,7
-32768,-11138,32767,6,32767,2276,-32768,6
-32768,-14006,32767,6,32767,3918,-32768,7
-32768,-16682,32767,8,32767,1714,-25216,6
-19392,-12513,32767,7,32767,550,-16444,6
11041,11321,25012,6,32198,-367,-10615,6
15275,32600,450,7,30842,-1488,-5668,7
3630,32767,-17584,7,30117,-1970,-5393,6
-4809,32767,-27844,7,30910,-1352,-6145,6
-15473,24540,-32768,7,32346,10,-13674,8
-14475,8050,-32768,7,32767,1247,-22827,9
-4459,1518,-32768,6,32767,2074,-28679,7
-1928,-517,-32768,7,32767,2218,-29740,7
-1900,-555,-32768,6,32767,2184,-29389,8
-1700,-818,-32768,8,32767,2288,-30491,7
42,-2448,-32768,4,32767,4188,-32768,8
5790,-4997,-32768,6,32767,2732,-32768,7
16841,-6000,-30890,8,6984,-24115,-25444,4
18113,-5961,-31182,5,-5418,-32768,-3298,6
9178,-5403,-32768,5,1883,-29432,28177,8
-105,-1987,-32768,7,730,2583,32767,8
-7325,4449,-32768,6,-6381,11535,32767,6
-15817,16851,-32768,5,-8767,14734,32767,5
-13434,28853,-32768,8,-12123,16558,32767,8
-4040,32767,-25331,4,-15584,17273,32767,7
4373,32767,-12553,5,-18359,17297,32767,6
5570,32767,-12441,8,-18271,17325,32767,8
6421,32767,-10976,6,-18079,17337,32767,7
9317,32767,-5203,6,-17719,17348,32767,8
15374,31430,7277,6,-16443,17300,32767,7
17204,21614,18998,6,-12882,16735,32767,8
526,-2663,32767,7,-8901,14713,32767,7
-31641,-17462,32767,8,-6228,11209,32767,7
-32768,-16247,32767,6,-4426,8123,32767,6
-32768,-15909,32767,6,-3465,6540,32767,8
-32768,-15409,32767,8,-1394,3775,32767,8
-32768,-14699,32767,6,1969,-714,32767,8
-32768,-14097,32767,5,4352,-7092,32767,6
-32768,-14483,32767,8,5122,-16348,32767,8
-32768,-16823,32767,6,4380,-23092,31508,6
-16503,-11428,32767,8,3250,-27279,27041,9
16422,31305,2546,6,-2266,-32768,-5318,7
-1963,32767,-18508,8,10186,-20305,-28471,7
12338,32767,-7015,7,-4287,-32768,-2485,5
10100,32767,-5251,6,-5282,-32768,-9747,7
7834,32767,-8130,8,-4893,-32768,-12780,6
8176,32767,-8072,7,-5006,-32768,-12351,6
8156,32767,-8080,6,-5022,-32768,-12341,5
8144,32767,-8070,7,-5025,-32768,-12346,8
8168,32767,-8083,5,-5021,-32768,-12360,6
8172,32767,-8073,7,-5002,-32768,-12369,5
8140,32767,-8079,5,-4998,-32768,-12376,5
8151,32767,-8078,6,-4990,-32768,-12399,7
8145,32767,-8082,6,-5006,-32768,-12393,6
8132,32767,-8105,4,-4988,-32768,-12432,5
8062,32767,-8259,5,-4965,-32768,-12545,5
7947,32767,-8458,6,-4856,-32768,-13002,9
7835,32767,-8714,6,-4852,-32768,-13007,7
7530,32767,-9176,6,-4972,-32768,-12524,7
6753,32767,-10428,6,-5185,-32768,-11855,6
5985,32767,-11824,6,-5243,-32768,-11443,6
4343,32767,-14703,7,-5475,-32768,-9421,7
